geneID	epidermis	cortex	columnella	stelle	endodermis
AT1G05700	0.043575199999999994	0.014022399999999999	0.0325603	0.0176678	0.019003
AT1G06840	15.835999999999999	2.48121	5.85257	4.34994	12.400355
AT1G07550	0.0353222	0.0	0.0	0.00505898	0.0
AT1G07560	1.0675700000000001	0.10320499999999999	0.0203557	0.0227199	0.014634649999999999
AT1G07650	1.96859	3.7693199999999996	1.74783	2.04294	4.1868
AT1G08590	15.4534	18.4851	2.3308299999999997	3.38866	25.073800000000002
AT1G09970	52.6649	33.0683	28.7238	3.1693599999999997	105.6207
AT1G11130	1.85353	4.61499	6.12443	18.5813	7.624465
AT1G12460	0.5589310000000001	3.24895	2.0325599999999997	3.63859	5.756285
AT1G14390	6.40422	18.0749	16.8031	1.34764	15.289695
AT1G17230	0.365361	0.79614	1.1678	1.02739	0.5157645
AT1G17750	4.95023	3.82966	10.2286	5.81006	8.082799999999999
AT1G24650	0.0	0.0	0.34958	0.00958415	0.0020146499999999998
AT1G25320	1.11914	6.95074	32.844	21.2692	6.02429
AT1G27190	17.3795	45.2065	24.2537	37.4843	27.96725
AT1G29730	2.02372	0.586129	1.60751	0.43285200000000007	0.25577550000000004
AT1G29750	1.60499	2.8761400000000004	3.5035	4.369280000000001	3.0959849999999998
AT1G31420	9.64431	35.3913	13.9783	32.8518	34.003550000000004
AT1G34110	12.6657	10.0592	27.5949	36.3154	14.97623
AT1G34210	1.93115	3.26356	6.44916	8.9046	3.69505
AT1G35710	0.383784	1.09571	2.45014	2.72954	1.0511789999999999
AT1G48480	4.44591	8.53358	1.54664	9.61577	57.0222
AT1G49100	0.0733577	0.0	0.0	0.0	0.00209282
AT1G50610	0.0	0.0	0.0	0.0	0.0062717300000000005
AT1G51790	1.64523	0.101952	0.024761900000000003	0.0203615	0.039389395
AT1G51800	18.1278	0.34426100000000004	0.0897809	0.044754199999999994	0.21123805
AT1G51810	0.00440444	0.0	0.0	0.0	0.002136455
AT1G51820	0.0697286	0.00755681	0.0	0.0	0.00425892
AT1G51890	0.0365943	0.0	0.00567661	0.0	0.00793455
AT1G53430	8.756219999999999	1.3504	19.3881	0.8240700000000001	3.0482825
AT1G53730	42.918	14.8593	4.3044400000000005	6.067159999999999	32.220749999999995
AT1G55610	0.133543	0.257468	4.5769	1.55175	0.748862
AT1G56120	0.202051	0.265333	0.22576500000000002	1.1955200000000001	0.35144600000000004
AT1G56140	14.9823	7.07212	18.8532	4.85516	10.26928
AT1G60800	0.437801	10.1202	17.4243	17.4952	29.447400000000002
AT1G62950	0.902998	4.70225	1.3402399999999999	5.31614	6.18168
AT1G63430	8.5218	17.3852	26.8291	38.9629	18.577199999999998
AT1G64210	2.23104	0.23743000000000003	0.0490233	0.183253	0.10942700000000001
AT1G66150	26.9176	50.7333	34.7534	44.3036	51.468999999999994
AT1G67510	3.9760400000000002	9.52051	4.1285	43.3124	9.050645
AT1G67720	0.245177	1.8220299999999998	0.75969	6.78523	2.66724
AT1G68400	8.738560000000001	3.4136300000000004	12.9439	13.2152	4.35882
AT1G69270	11.3786	10.3477	28.5241	11.6018	13.6022
AT1G69990	0.36849699999999996	0.0	2.76673	0.0	0.011590950000000001
AT1G71830	3.4883599999999997	12.6072	5.7072	32.4708	7.41997
AT1G72180	2.78417	1.24566	81.7175	2.8607299999999998	2.724378
AT1G72300	2.76025	1.29503	0.558559	1.73786	2.068655
AT1G72460	0.0317882	0.0	0.0	0.0	0.022224050000000002
AT1G73080	52.2025	18.1875	98.4916	15.0657	34.74635
AT1G74360	2.31513	0.396919	13.4801	0.40981000000000006	0.9752015
AT1G75820	1.12076	2.19536	2.4797599999999997	1.30221	2.7994700000000003
AT1G78980	0.0	0.0	0.00322789	0.00639545	0.0051305
AT1G79620	0.172684	2.383	6.88352	37.727	5.2567285
AT2G01210	3.20648	3.89232	12.8852	15.5212	8.49483
AT2G01820	22.8616	37.9554	30.1691	37.7792	23.98785
AT2G01950	0.18115499999999998	6.94792	2.19699	53.5764	4.886855
AT2G02220	11.4631	7.60155	34.2848	2.6665200000000002	7.204205
AT2G02780	24.3825	60.0202	8.19718	6.68492	58.831950000000006
AT2G13790	1.6715200000000001	1.7985200000000001	4.73016	2.07571	1.8262150000000001
AT2G13800	1.6962099999999998	2.0308599999999997	9.7936	1.7968400000000002	1.6104375000000002
AT2G16250	5.97619	9.812510000000001	4.849019999999999	7.1577399999999995	4.972595
AT2G19190	0.203817	0.0888949	0.10263	0.06139159999999999	0.02058995
AT2G19210	0.00392621	0.0	0.0108692	0.00453693	0.002491685
AT2G19230	0.00645239	0.0	0.0132682	0.0	0.0
AT2G20850	0.881333	4.94758	3.61766	8.91323	3.64482
AT2G23300	10.6028	9.067689999999999	9.846969999999999	1.98036	15.6941
AT2G23950	0.349551	6.26055	2.6836900000000004	24.3452	9.83011
AT2G24130	0.00376705	0.146337	0.0	0.047075599999999995	0.03350805
AT2G24230	0.221394	12.1423	2.0270099999999998	37.0035	7.422090000000001
AT2G25790	0.257468	2.10451	0.93324	17.9492	5.173075
AT2G26330	0.644273	0.8993049999999999	5.76473	2.87574	0.9778640000000001
AT2G27060	0.698623	1.55372	1.68108	2.0375799999999997	3.522115
AT2G28960	2.30457	0.0357963	0.03353830000000001	0.00937331	0.02668655
AT2G28990	2.0032799999999997	0.0399704	0.0253785	0.0262093	0.048344
AT2G31880	36.6315	10.9797	39.5706	3.2722	11.840755
AT2G35620	5.957380000000001	25.2827	14.9047	21.9437	29.20995
AT2G37050	0.564267	16.8628	2.9605	55.7295	34.1926
AT2G42290	1.40231	5.24311	2.11307	5.7725599999999995	3.47531
AT2G45340	1.96937	8.16195	18.397000000000002	37.626999999999995	18.6089
AT3G02130	4.76461	5.3802900000000005	10.7542	7.31606	6.399760000000001
AT3G02880	77.9096	35.7062	42.0752	38.2117	53.94540000000001
AT3G03770	0.10436300000000001	1.6768	2.7713	2.77093	2.3117199999999998
AT3G08680	36.132	53.3086	58.2856	45.4218	32.60645
AT3G13380	2.27327	0.516876	1.5318100000000001	3.4494599999999997	0.9157474999999999
AT3G14350	26.0615	13.8712	18.4833	9.16387	22.99755
AT3G14840	36.2361	24.4985	29.8211	11.4882	43.5895
AT3G17840	7.627260000000001	21.8535	60.2666	55.8431	38.71505
AT3G19700	0.021052	0.00968045	0.0090741	0.00767434	0.009917925000000001
AT3G20190	0.108708	0.0	0.046794699999999995	0.0525373	0.03256265
AT3G21340	28.8623	0.166882	0.12071400000000002	0.202486	0.2280506
AT3G23750	34.0929	38.039	25.6187	49.5523	54.05735
AT3G24240	16.0052	63.4474	51.3833	76.9916	34.03325
AT3G24660	14.1971	6.62372	17.5565	45.5816	12.674399999999999
AT3G25560	0.258779	2.34459	1.3352700000000002	2.1664	6.712365
AT3G28040	0.211169	31.3865	0.20741199999999999	0.858187	12.599540000000001
AT3G46330	0.0	0.0136636	0.0	0.0	0.0
AT3G46340	0.0463596	0.0	0.0	0.00476452	0.00616115
AT3G46350	0.0	0.0	0.0	0.0	0.0
AT3G46420	0.00477448	0.0	0.0	0.0	0.0
AT3G47090	0.0551235	0.034850400000000004	0.0987408	0.027486	0.0547077
AT3G47580	0.0480548	0.0727026	0.194854	0.16117	0.14840635000000002
AT3G49670	5.283519999999999	9.978019999999999	8.50918	12.0148	20.9227
AT3G50230	0.28227199999999997	17.0077	1.8123	5.91982	15.93496
AT3G53590	0.014784100000000001	0.0396694	0.0185858	0.0149713	0.02282045
AT3G56100	2.87774	5.468369999999999	1.5174	22.3764	9.001935
AT3G56370	18.3274	30.4753	35.2399	101.68700000000001	58.543549999999996
AT3G57830	0.3504	2.5512099999999998	0.396891	9.67322	6.675395
AT4G03390	12.1872	22.1278	18.84	15.1225	16.3933
AT4G18640	25.6483	2.52821	11.6984	26.881	4.012943
AT4G20140	0.892437	3.39889	1.2662	0.221266	44.51805
AT4G20270	0.112429	5.20367	2.11522	15.9396	5.190115
AT4G20450	1.0961299999999998	0.0221078	0.011729799999999999	0.014388299999999998	0.062183550000000004
AT4G20790	0.00908959	0.0	0.0	0.0	0.00437288
AT4G20940	3.24567	7.69407	6.76345	24.9486	11.790415
AT4G22130	22.4349	33.0108	40.5729	26.4849	42.34775
AT4G22730	0.181015	0.540976	0.30972	0.163827	2.6627199999999998
AT4G23740	15.9525	21.1226	9.94094	19.8646	27.9191
AT4G26540	23.1206	30.7431	6.47081	11.6453	26.84375
AT4G28490	0.180518	0.737514	0.238787	0.30636199999999997	0.28457150000000003
AT4G28650	19.6634	45.0799	3.24615	14.6628	26.8411
AT4G29180	22.2701	0.353003	0.441021	0.368399	0.4749205
AT4G29450	0.33734000000000003	0.030055000000000002	0.023401599999999998	0.014602	0.024613500000000003
AT4G30520	0.31674	4.01086	1.8808200000000002	24.1329	3.101215
AT4G31250	22.2147	2.25195	1.1466	3.46235	2.482675
AT4G33430	45.7043	27.7058	68.4409	25.4073	40.1523
AT4G36180	15.1195	38.9054	18.5936	59.9728	29.438850000000002
AT4G37250	3.58765	5.19574	23.5835	17.2172	22.2531
AT4G39270	15.4406	8.07995	11.7507	2.89551	3.4343500000000002
AT4G39400	62.3908	39.0967	157.3	46.2752	34.4204
AT5G01890	22.1556	15.4279	15.1323	162.007	10.0308
AT5G01950	6.05523	6.18816	8.11857	6.28832	7.318745
AT5G06820	1.1052	0.30031399999999997	0.411778	0.20557399999999998	0.425045
AT5G07180	0.00328143	0.028294999999999997	0.0572529	0.0109131	0.059261385
AT5G07280	0.373382	2.43647	0.29486799999999996	0.14294600000000002	0.6198465
AT5G10020	13.0169	28.9496	8.69965	33.808	23.91055
AT5G10290	16.7087	10.725999999999999	13.0161	8.4073	12.8781
AT5G16000	0.169234	4.89432	1.65871	37.0291	14.3184
AT5G16590	43.474	92.5744	12.6418	73.4314	78.7266
AT5G16900	5.46519	0.530231	2.04984	0.524098	0.6189724999999999
AT5G20480	0.46010500000000004	0.34744899999999995	0.715752	0.49557399999999996	0.46654699999999993
AT5G20690	0.245464	0.0264716	0.07407689999999999	0.07004880000000001	0.29703955
AT5G24100	17.2518	10.4451	1.03482	1.64556	14.956710000000001
AT5G25930	133.4	9.50925	118.259	2.04966	33.21086
